Sentimen,author,text,publishedAt,likeCount
Positif,PikiranTerbuka,Terima kasih sudah membuka pikiran saya tentang isu ini.,4 months ago,680
Positif,LuarBiasa,Diskusi yang sangat berkelas dan elegan. *Two thumbs up*!,4 months ago,1.6K
Positif,GoodContent,"Kualitas *mic* dan visual sangat baik, diskusinya apalagi.",3 months ago,850
Positif,Juara,"Ini baru namanya konten berkualitas, bukan cuma sensasi.",3 months ago,1.9K
Positif,Bijaksana,Cara beliau merespon serangan sangat bijaksana. Patut dicontoh.,3 months ago,580
Positif,IndonesiaSehat,Semoga bangsa kita semakin sehat dengan adanya diskusi seperti ini.,2 months ago,1.45K
Positif,TerbaikDunia,Ini *podcast* terbaik di dunia perpolitikan Indonesia.,2 months ago,450
Positif,MantapJiwa,Saya suka intonasi dan pilihan kata yang digunakan. Keren.,2 months ago,1.15K
Positif,HarapanBaru,Memberikan harapan baru bagi masyarakat yang apatis.,1 month ago,320
Positif,AnalisisJitu,Analisisnya tajam dan tepat sasaran. Jitu sekali!,1 month ago,2.3K
Positif,Pujian,Saya tidak bisa berhenti menonton video ini. *Masterpiece*.,1 month ago,760
Positif,Kualitas,Jarang ada *podcast* dengan kualitas diskusi setinggi ini.,1 month ago,1.65K
Positif,DamaiIndah,"Walaupun kritis, tetap santun dan menjaga kedamaian.",1 month ago,520
Positif,Solusi,"Tidak hanya kritik, tapi juga memberikan solusi yang rasional.",5 months ago,920
Positif,SuksesTerus,Semoga sukses selalu dan terus menginspirasi.,5 months ago,2.25K
Positif,Jempol,Pokoknya jempol untuk Om Deddy dan bintang tamu. Keren.,5 months ago,680
Positif,CerdasBerani,Kombinasi cerdas dan berani yang sangat langka.,4 months ago,1.25K
Positif,PenuhIlmu,Diskusi ini lebih bernilai dari kuliah 4 SKS.,4 months ago,710
Positif,KekuatanKata,Kekuatan kata-katanya sangat memukau dan meyakinkan.,4 months ago,1.68K
Positif,Berbobot,Setiap kalimatnya berbobot dan penuh makna. *Good job*!,3 months ago,870
Positif,Apresiasi,Saya sangat mengapresiasi keberanian Om Deddy mengundang beliau.,3 months ago,1.95K
Positif,Pahlawan,Beliau adalah pahlawan tanpa tanda jasa bagi edukasi publik.,3 months ago,610
Positif,Lanjutkan,Tolong teruskan konten-konten yang mencerdaskan seperti ini.,2 months ago,1.48K
Positif,FansBerat,Saya adalah fans berat Bang Ferry dan Om Deddy. Sukses terus.,2 months ago,470
Positif,JalanLurus,Semoga selalu berjalan di jalan yang lurus dan benar.,2 months ago,1.18K
Positif,FaktaData,"Argumen berdasarkan fakta dan data, bukan asumsi.",1 month ago,340
Positif,SimpulanCerdas,Kesimpulan yang ditarik sangat cerdas dan mengena.,1 month ago,2.4K
Positif,EdukasiTinggi,Ini adalah tontonan edukasi tingkat tinggi. Harus dipertahankan.,1 month ago,790
Positif,Perubahan,Saya yakin *podcast* ini membawa perubahan positif bagi bangsa.,1 month ago,1.62K
Positif,Harmoni,Harmoni yang indah antara host dan bintang tamu.,1 month ago,540
Positif,HarusTonton,"Kalau tidak nonton ini, rugi besar. Sangat informatif.",5 months ago,950
Positif,IdeBaru,Memberikan saya banyak ide baru untuk berpikir.,5 months ago,2.3K
Positif,TerimaKasih,Terima kasih telah berbagi ilmu yang sangat bermanfaat.,5 months ago,700
Positif,Semangat,Semangat untuk terus berkarya dan mencerdaskan bangsa.,4 months ago,1.3K
Positif,Jernih,Pikiran saya jadi lebih jernih setelah mendengarkan ini.,4 months ago,730
Positif,BikinPintar,Konten yang benar-benar bikin penonton jadi pintar.,4 months ago,1.7K
Positif,PengagumSejati,Saya benar-benar pengagum dari cara penyampaian beliau.,3 months ago,890
Positif,PalingSeru,Ini adalah episode *podcast* yang paling seru dan penting.,3 months ago,2.0K
Positif,WajibNonton,Wajib nonton sampai selesai! Tidak akan menyesal.,3 months ago,630
Positif,Tersampaikan,Pesan yang disampaikan benar-benar tersampaikan dengan baik.,2 months ago,1.5K
Positif,TopMarkotop,Top markotop! Kualitas konten yang tidak tertandingi.,2 months ago,490
Positif,TheBest,Ini adalah episode *The Best* di *podcast* ini.,2 months ago,1.2K
Positif,Realita,Berbicara tentang realita tanpa ditutup-tutupi. Berani!,1 month ago,360
Positif,KritikusHandal,Beliau adalah kritikus handal yang bicara dengan data.,1 month ago,2.45K
Positif,Sempurna,Diskusi yang sempurna dari awal sampai akhir.,1 month ago,810
Positif,Kompak,Om Deddy dan Bang Ferry sangat kompak dalam berdiskusi.,1 month ago,1.7K
Positif,Menarik,Sangat menarik dan membuat saya penasaran dengan isu lainnya.,1 month ago,560
Positif,PenuhMakna,Setiap detik pembicaraan ini penuh makna. *Amazing*!,5 months ago,980
Positif,Kagum,Saya sangat kagum dengan kedalaman wawasan beliau.,5 months ago,2.35K
Positif,PribumiSejati,Ini adalah suara pribumi sejati yang peduli negara.,5 months ago,720
Positif,PuasBanget,Saya puas banget dengan kualitas diskusi kali ini.,4 months ago,1.35K
Positif,Ekspektasi,Hasilnya melebihi ekspektasi saya. Keren!,4 months ago,750
Positif,JelasTegas,"Penyampaiannya jelas, tegas, dan tidak bertele-tele.",4 months ago,1.75K
Positif,Kreatif,Ide-ide yang muncul sangat kreatif dan inovatif.,3 months ago,910
Positif,TerbaikBintang5,"Untuk episode ini, saya beri bintang 5. Terbaik!",3 months ago,2.1K
Positif,JempolKaki,Dua jempol tangan dan dua jempol kaki untuk Anda berdua.,3 months ago,650
Positif,Semangat45,Semangatnya untuk perubahan sangat menular. Lanjutkan!,2 months ago,1.55K
Positif,Solutif,Diskusi yang tidak hanya kritis tapi juga solutif.,2 months ago,510
Positif,VibesPositif,Memberikan *positive vibes* dan semangat perubahan.,2 months ago,1.25K
Positif,Informatif,Sangat informatif dan membuka banyak tabir rahasia.,1 month ago,380
Positif,PenggemarBaru,Saya jadi penggemar baru Bang Ferry setelah ini.,1 month ago,2.5K
Positif,PalingDitunggu,Episode yang paling saya tunggu-tunggu setiap minggunya.,1 month ago,830
Positif,Pintar,Anda benar-benar orang pintar yang peduli rakyat.,1 month ago,1.75K
Positif,Teladan,Menjadi teladan bagi para *public figure* lainnya.,1 month ago,580
Positif,JujurBerani,"Jujur, berani, dan cerdas. Kombinasi yang langka.",5 months ago,1.0K
Positif,IlmuBaru,Setiap menonton selalu ada ilmu baru yang didapat.,5 months ago,2.4K
Positif,Mantaap,Mantaap! Tidak ada kata lain selain itu.,5 months ago,750
Positif,CintaIndonesia,Semoga Indonesia semakin maju dengan orang-orang seperti ini.,4 months ago,1.4K
Positif,BisaBeda,"Kita boleh beda, tapi harus tetap cerdas. Salut!",4 months ago,780
Positif,Jiwaku,Mewakili suara hati dan jiwa saya sebagai rakyat.,4 months ago,1.8K
Positif,BerhatiMulia,Orang yang berhati mulia dan peduli nasib bangsa.,3 months ago,930
Positif,Emas,Konten emas yang harus dilestarikan. *Good job*!,3 months ago,2.2K
Positif,PenuhInspirasi,Selalu penuh inspirasi dan motivasi positif.,3 months ago,680
Positif,DukunganPenuh,Dukungan penuh dari saya untuk perjuangan ini.,2 months ago,1.6K
Positif,Terdepan,Selalu terdepan dalam menyuarakan kebenaran.,2 months ago,530
Positif,NoDebat,"Tidak perlu didebat lagi, semua argumennya valid.",2 months ago,1.3K
Positif,KualitasTinggi,Ini adalah *high quality content*. Salut!,1 month ago,400
Positif,BenarBenar,Benar-benar *insightful* dan mencerahkan.,1 month ago,2.55K
Positif,PalingDisukai,Episode ini yang paling saya sukai. *Definitely*!,1 month ago,850
Positif,HarusViral,Konten seperti ini yang harus viral dan ditonton jutaan kali.,1 month ago,1.8K
Positif,Panutan,Menjadi panutan bagi anak muda Indonesia.,1 month ago,600
Positif,Mendidik,Sangat mendidik dan membuka wawasan. Terima kasih.,5 months ago,1.05K
Positif,WawasanLuas,Wawasan Bang Ferry sangat luas. Keren!,5 months ago,2.45K
Positif,HatiDamai,Diskusi yang membawa kedamaian di tengah konflik.,5 months ago,780
Positif,PalingBerani,Salah satu *public figure* yang paling berani dan cerdas.,4 months ago,1.45K
Positif,MasaDepan,Masa depan bangsa ada di tangan orang-orang seperti ini.,4 months ago,810
Positif,Mengajak,Mengajak kita untuk terus berpikir dan tidak pasrah.,4 months ago,1.85K
Positif,Senang,Saya senang melihat diskusi yang sangat berbobot ini.,3 months ago,950
Positif,SangatSuka,Saya sangat suka dengan ketenangan dan wibawanya.,3 months ago,2.3K
Positif,Bermanfaat,Konten yang sangat bermanfaat dan harus diulang.,3 months ago,700
Positif,SalutLagi,Salut lagi dan lagi untuk kedua pembicara.,2 months ago,1.65K
Positif,CintaDamai,"Meskipun kritis, tetap mengedepankan cinta damai.",2 months ago,550
Positif,PenuhData,"Penuh data, fakta, dan argumen yang valid.",2 months ago,1.35K
Positif,Pantas,Pantas mendapatkan *views* jutaan. Kualitasnya top.,1 month ago,420
Positif,Penting,Isu yang dibahas sangat penting dan krusial.,1 month ago,2.6K
Positif,TontonanWajib,Ini adalah tontonan wajib sebelum tidur.,1 month ago,870
Positif,Dukung,Saya akan selalu mendukung *podcast* dengan konten seperti ini.,1 month ago,1.85K
Positif,IdolaBaru,Ferry Irwandi adalah idola baru saya. Keren!,1 month ago,620
Positif,Yani_Pintar,Ini adalah *masterclass* dalam berdiskusi. Harus ditonton!,1 month ago,120
Positif,Zaki_Cerdas,Semoga channel ini terus menghadirkan konten yang berani dan bermanfaat.,1 month ago,85
Positif,Abi_Setuju,Argumen yang logis dan runtut. Sulit dibantah.,1 month ago,220
Positif,Bela_Bagus,Saya merasa semakin pintar setelah menonton ini. Terima kasih!,1 month ago,180
Positif,Cinta_Negeri,Semoga keadilan selalu ditegakkan. Salut dengan perjuangan kalian.,1 month ago,140
Negatif,Pengamat77,Kebanyakan teori dan analisis yang berputar-putar. *Too much talking*.,5 months ago,15
Negatif,Anto_Skeptis,"Semua aktivis pasti bilang terancam, itu lagu lama cuma aransemen baru.",5 months ago,25
Negatif,NetizenKepo,"Cuma cari panggung biar viral, isinya tidak ada solusi konkret.",5 months ago,8
Negatif,GakSuka,Liat dan dengar bicaranya sombong sekali. Bikin ilfeel.,4 months ago,35
Negatif,Omg_Deddy,"Dedy kebanyakan motong pembicaraan, jadi mengganggu.",4 months ago,18
Negatif,Feri_Ribet,Terlalu banyak dongeng sutradara film kayaknya ente cocok.,3 months ago,12
Negatif,Bosan,Konten sudah tidak menarik lagi. Isinya pengulangan terus.,3 months ago,45
Negatif,KritikPedas,"Dari gaya bicara dan gerak verbal, seperti orang yang sok tahu.",3 months ago,10
Negatif,MendingTidur,Buang-buang waktu nonton ini. Tidak ada faedahnya.,2 months ago,7
Negatif,GakMutu,Anomali botak yang meresahkan. *Halah*.,2 months ago,22
Negatif,WongPribumi,"Capek liat manusia 1 ini... Om Dedi, lebay.",2 months ago,14
Negatif,RakyatBiasa,"Semua teori, kebanyakan busa. Realitanya berbeda.",1 month ago,30
Negatif,SudahLama,Udah ga inget kapan terakhir nonton ini podkes. Sekarang makin males.,1 month ago,5
Negatif,SokPinter,Sok asyik nih Ferry. Padahal *content*-nya dangkal.,1 month ago,28
Negatif,Tinggalkan,Otw *unsubscribe*. Konten makin hari makin membosankan.,1 month ago,9
Negatif,OpiniBeda,Saya tidak setuju dengan semua pendapatnya. Terlalu berlebihan.,1 month ago,19
Negatif,CariSensasi,Ini sih cuma mau cari sensasi biar diundang lagi.,1 month ago,11
Negatif,NggakLaku,"Kayaknya sudah nggak laku, makanya cari isu panas.",5 months ago,17
Negatif,CapekLiat,"Muka-muka yang sama, diskusi yang sama. *Boring*.",5 months ago,32
Negatif,GakJelas,Inti pembicaraannya tidak jelas mau ke mana.,5 months ago,6
Negatif,MendingGame,Mending main *game* daripada nonton ginian.,4 months ago,40
Negatif,LebihBaikTonton,Lebih baik tonton film dari sutradara dia. Ini cuma drama.,4 months ago,20
Negatif,Kontroversial,"Pembahasannya terlalu kontroversial, tidak nyaman didengar.",4 months ago,42
Negatif,BikinEmosi,Ini *podcast* cuma bikin emosi penonton. Tidak mendidik.,3 months ago,16
Negatif,Gimmick,Semua ini cuma *gimmick* belaka untuk menaikkan *rating*.,3 months ago,50
Negatif,Mual,Saya mual mendengarkan teori-teori konspirasi seperti ini.,3 months ago,13
Negatif,Sumbat,Pendapat yang sumbat dan tidak bisa menerima realitas.,2 months ago,10
Negatif,BuangWaktu,Benar-benar buang-buang waktu. Tidak ada nilai tambah.,2 months ago,28
Negatif,Ngantuk,Diskusi yang sangat membosankan. Bikin ngantuk.,2 months ago,16
Negatif,Pencitraan,Terlalu banyak pencitraan dan sok bijak. *Fake*.,1 month ago,38
Negatif,Unfollow,Saya sudah *unfollow* semua akun yang terkait dengan *podcast* ini.,1 month ago,4
Negatif,Tutup,Mendingan *podcast*-nya ditutup saja. Tidak ada manfaatnya.,1 month ago,32
Negatif,NggakJelas,Orang ini dari mana sih? Nggak jelas latar belakangnya.,1 month ago,13
Negatif,TerlaluAgresif,Gaya bicaranya terlalu agresif dan memaksakan pendapat.,5 months ago,20
Negatif,KurangData,Kritik tanpa data yang kuat. Cuma opini kosong.,5 months ago,38
Negatif,Mengecewakan,Sangat mengecewakan. Tidak sesuai dengan yang diharapkan.,5 months ago,9
Negatif,IsuLama,Membahas isu lama yang sudah tidak relevan lagi.,4 months ago,45
Negatif,Ngaco,Analisisnya ngaco dan tidak masuk akal sama sekali.,4 months ago,22
Negatif,TerlaluLama,Pembahasannya terlalu lama dan bertele-tele.,4 months ago,15
Negatif,NoSolution,"Hanya kritik, tapi tidak ada solusi yang ditawarkan.",3 months ago,18
Negatif,Pusing,Saya pusing mendengarkan jargon-jargon yang sulit dipahami.,3 months ago,55
Negatif,Gaya,Cuma mengandalkan gaya bicara yang provokatif. *Style* doang.,3 months ago,14
Negatif,Stop,Tolong hentikan *podcast* seperti ini. Meresahkan.,2 months ago,9
Negatif,MencariMuka,Jelas sekali dia sedang mencari muka dan popularitas.,2 months ago,30
Negatif,TidakCocok,"Dia tidak cocok diundang, *track record*-nya meragukan.",2 months ago,18
Negatif,SokSuci,Gaya bicaranya sok suci dan paling benar sendiri.,1 month ago,42
Negatif,BikinBadmood,Nonton ini cuma bikin *bad mood* seharian.,1 month ago,6
Negatif,PindahChannel,Langsung pindah *channel* saat melihat bintang tamu ini.,1 month ago,35
Negatif,SamaAja,"Semua *public figure* sama aja, cuma cari uang.",1 month ago,15
Negatif,NgomongDoang,"Cuma jago ngomong doang, kerjanya mana?",5 months ago,25
Negatif,Hoax,Saya curiga ini semua cuma *hoax* dan rekayasa.,5 months ago,45
Negatif,BikinGaduh,*Podcast* ini hanya bikin gaduh dan perpecahan.,5 months ago,11
Negatif,TidakDewasa,Cara berdiskusinya tidak dewasa dan emosional.,4 months ago,50
Negatif,GakSesuai,Pendapatnya tidak sesuai dengan fakta di lapangan.,4 months ago,25
Negatif,Overtime,"Sudah terlalu lama *podcast*-nya, harusnya selesai.",4 months ago,17
Negatif,TidakOriginal,"Idenya tidak original, cuma daur ulang dari yang lain.",3 months ago,20
Negatif,CapekDengar,Capek dengar keluh kesahnya. Mending kerja nyata.,3 months ago,60
Negatif,Basi,Isu yang dibahas sudah basi dan tidak menarik.,3 months ago,16
Negatif,Parah,Ini *podcast* paling parah yang pernah saya tonton.,2 months ago,11
Negatif,SangatTidakSuka,Saya sangat tidak suka dengan gaya bicaranya.,2 months ago,35
Negatif,Hambar,Diskusi yang hambar dan tidak ada *gairah*.,2 months ago,20
Negatif,Memperkeruh,"Hanya memperkeruh suasana, bukan mencerahkan.",1 month ago,48
Negatif,Keluar,Saya langsung keluar dari video ini. Tidak tahan.,1 month ago,7
Negatif,Terpaksa,Om Deddy terlihat terpaksa mengundang dia.,1 month ago,40
Negatif,JanganLagi,Tolong jangan diundang lagi bintang tamu seperti ini.,1 month ago,17
Negatif,BedaKelas,Jelas sekali beda kelas antara host dan bintang tamu.,5 months ago,30
Negatif,Berlebihan,Reaksi netizen yang terlalu berlebihan terhadap orang ini.,5 months ago,55
Negatif,GakNyambung,Pembahasannya kadang suka gak nyambung dan melenceng.,5 months ago,13
Negatif,Terbuang,Waktu saya terbuang sia-sia menonton ini.,4 months ago,60
Negatif,SokTahu,"Sok tahu semua hal, padahal kenyataannya tidak.",4 months ago,30
Negatif,BikinMalas,*Podcast* ini bikin saya malas berpikir kritis.,4 months ago,20
Negatif,TidakEdukasi,"Jauh dari kata edukasi, lebih ke drama panggung.",3 months ago,25
Negatif,Saran,"Saran saya, ganti bintang tamu. Dia tidak menarik.",3 months ago,65
Negatif,KritisSaja,"Hanya jago kritis saja, solusi tidak ada.",3 months ago,18
Negatif,Menjengkelkan,"Om Deddy-nya menjengkelkan, banyak memotong.",2 months ago,13
Negatif,NggakPenting,Isu yang dibahas nggak penting sama sekali.,2 months ago,40
Negatif,LebihBaikDiam,Lebih baik diam daripada ngomong yang tidak jelas.,2 months ago,22
Negatif,Muak,Saya muak dengan *podcast* yang isinya drama.,1 month ago,55
Negatif,Jelek,Kualitas *podcast*-nya makin lama makin jelek.,1 month ago,8
Negatif,NantiAja,Mending nonton nanti aja kalau ada bintang tamu lain.,1 month ago,45
Negatif,BikinRibet,Pendapatnya terlalu berbelit-belit dan bikin ribet.,1 month ago,20
Negatif,BikinPusing,"Ini *podcast* bikin pusing, bukan mencerahkan.",5 months ago,35
Negatif,PencitraanLagi,"Pencitraan lagi, pencitraan lagi. Bosen.",5 months ago,60
Negatif,GakAdaIsi,Inti pembicaraannya tidak ada isi sama sekali.,5 months ago,15
Negatif,TerlaluBanyak,"Terlalu banyak basa-basi, langsung ke intinya dong.",4 months ago,65
Negatif,BikinRagu,Membuat saya ragu dengan niat baiknya.,4 months ago,35
Negatif,TidakMenarik,Pembawaan yang sangat tidak menarik dan monoton.,4 months ago,25
Negatif,KomentarJelek,Ini adalah komentar terjelek yang pernah saya tonton.,3 months ago,30
Negatif,SangatBuruk,Kualitas diskusi yang sangat buruk. *Under expectation*.,3 months ago,70
Negatif,Aduh,"Aduh, tolong deh. Jangan diundang lagi orang ini.",3 months ago,20
Negatif,TidakLayak,*Podcast* ini tidak layak untuk ditonton.,2 months ago,15
Negatif,Ngelantur,Pembahasannya kadang suka ngelantur ke mana-mana.,2 months ago,45
Negatif,MendingMatiin,"Mending matiin aja suaranya, cuma lihat ekspresi.",2 months ago,25
Negatif,GayaDoang,Hanya mengandalkan gaya bicara sok kritis. *Gaya doang*.,1 month ago,60
Negatif,ParahBanget,Parah banget. Tidak ada yang bisa dibanggakan.,1 month ago,9
Negatif,Tolak,Saya menolak semua pendapat dari orang ini.,1 month ago,50
Negatif,Selesai,Cepat selesaikan. Saya sudah tidak tahan.,1 month ago,22
Negatif,BikinJengkel,Sangat bikin jengkel dari awal sampai akhir.,5 months ago,40
Negatif,BikinMalu,*Podcast* ini bikin malu *channel* Om Deddy.,5 months ago,75
Negatif,GakLucu,"Om Deddy-nya gak lucu, bintang tamunya juga gak seru.",5 months ago,18
Negatif,SangatSombong,Sangat sombong dan meremehkan penonton.,4 months ago,80
Negatif,GakFokus,Diskusi yang gak fokus dan banyak pengalihan.,4 months ago,40
Negatif,BikinStress,Nonton ini cuma bikin *stress* dan sakit kepala.,4 months ago,30
Negatif,KritisTanpaSolusi,Kritis tanpa solusi itu sama dengan sampah.,3 months ago,35
Negatif,PalingDibenci,Ini adalah episode yang paling saya benci.,3 months ago,85
Negatif,NggakMasukAkal,Argumennya nggak masuk akal sama sekali.,3 months ago,25
Negatif,UdahDeh,"Udah deh, cukup. Saya *skip* semua yang ada dia.",2 months ago,20
Negatif,TidakMenghargai,Tidak menghargai pendapat orang lain. Egois.,2 months ago,50
Negatif,BiasaAja,Orang ini biasa aja. Nggak spesial.,2 months ago,30
Negatif,SangatMenyebalkan,Sangat menyebalkan. *Host* dan bintang tamu sama saja.,1 month ago,70
Negatif,Keluhan,Saya punya banyak keluhan tentang *podcast* ini.,1 month ago,10
Negatif,DikitLagi,Dikit lagi saya *unsubscribe* karena episode ini.,1 month ago,55
Negatif,BukanContoh,Bukan contoh yang baik untuk dibagikan.,1 month ago,25
Negatif,User_Muak,Saya sudah muak dengan drama-drama di dunia *podcast*.,1 month ago,15
Negatif,Botak_Aneh,"Penampilan aneh, isi kepala lebih aneh lagi.",1 month ago,8
Negatif,OmongKosong,"Hanya omong kosong belaka, tidak ada bukti nyata.",1 month ago,25
Negatif,TidakRealistis,"Argumennya terlalu idealis, tidak realistis di lapangan.",1 month ago,12
Negatif,BukanContoh,Bukan contoh yang baik untuk generasi muda.,1 month ago,9
Negatif,SintetisAneh,"Data ini juga aneh, tidak sesuai dengan ekspektasi.",1 month ago,17
Negatif,MasihGagal,Anda masih gagal. Saya akan cari AI lain.,1 month ago,33
Negatif,CapekBerharap,Capek berharap dengan *podcast* yang tidak jelas.,1 month ago,11
Negatif,TidakOriginal,"Kritik yang tidak original, cuma ikut-ikutan.",1 month ago,29
Negatif,BikinNangis,Nonton ini bikin saya nangis karena kecewa.,1 month ago,7
Negatif,BikinPusing7Keliling,Ini *podcast* bikin pusing 7 keliling.,1 month ago,24
Negatif,GakNontonLagi,Saya janji gak akan nonton *podcast* ini lagi.,1 month ago,14
Negatif,Buang-BuangKuot,Buang-buang kuota internet saya.,1 month ago,31
Negatif,TerserahAnda,"Terserah Anda saja deh, saya sudah pasrah.",1 month ago,10
Negatif,SangatSangatGagal,Sangat sangat gagal dalam menyajikan diskusi.,1 month ago,27
Negatif,KalahTelak,Anda kalah telak dalam memenuhi permintaan saya.,1 month ago,6
Negatif,MendingDiamAja,Mending diam aja daripada bicara yang tidak jelas.,1 month ago,23
Negatif,PalingTidakSuka,Ini episode yang paling tidak saya suka.,1 month ago,16
Negatif,GakAdaHarapan,Saya sudah tidak ada harapan lagi dengan *podcast* ini.,1 month ago,35
Negatif,TerlaluLiar,Diskusi yang terlalu liar dan tidak terarah.,1 month ago,13
Negatif,SampaiKapan,Sampai kapan *podcast* ini akan begini terus?,1 month ago,30
Negatif,JanganDipercaya,Jangan percaya semua yang dikatakan orang ini.,1 month ago,9
Negatif,BikinEmosiJiwa,*Podcast* ini bikin emosi jiwa dan raga.,1 month ago,26
Negatif,SudahCukup,Sudah cukup. Saya tidak mau berkomentar lagi.,1 month ago,19
Negatif,TungguKapan,Saya tunggu kapan *podcast* ini akan bangkrut.,1 month ago,34
Negatif,CapekLihatBotak,Capek lihat Om Deddy botak ini. Bosan.,1 month ago,8
Negatif,DilarangNonton,Sebaiknya *podcast* ini dilarang untuk ditonton.,1 month ago,25
Negatif,SangatMenyebalkan2,Sangat menyebalkan dan tidak mendidik.,1 month ago,17
Negatif,PergiSaja,"Pergi saja sana, jangan muncul lagi di YouTube.",1 month ago,32
Negatif,SayaBenci,Saya benci dengan semua yang dibahas di sini.,1 month ago,11
Negatif,GakAdaGuna,Tidak ada guna sama sekali menonton *podcast* ini.,1 month ago,29
Negatif,PalingTidakBerguna,Ini *podcast* yang paling tidak berguna.,1 month ago,7
Negatif,MendingNontonSinetron,Mending nonton sinetron daripada ini.,1 month ago,24
Negatif,SokHebat,Sok hebat dan sok tahu semuanya.,1 month ago,16
Negatif,TerlaluCepat,Pembahasan terlalu cepat dan dangkal.,1 month ago,33
Negatif,GakAdaAkhlak,*Podcast* ini tidak ada akhlak dan etika.,1 month ago,12
Negatif,BuangWaktuParah,Buang-buang waktu parah. *Regret*!,1 month ago,30
Negatif,StopBicara,"Tolong Om Deddy dan Ferry, stop bicara.",1 month ago,9
Negatif,PalingMembingungkan,Ini *podcast* paling membingungkan.,1 month ago,26
Negatif,GakPernahSuka,Saya gak pernah suka dengan *podcast* ini.,1 month ago,18
Negatif,SatuBintang,Saya kasih satu bintang saja. Jelek.,1 month ago,35
Negatif,TidakLayakTayang,*Podcast* ini tidak layak tayang.,1 month ago,14
Negatif,Jahat,Kalian jahat karena menyajikan konten seperti ini.,1 month ago,31
