author,text,publishedAt,likeCount
@EzraSihombing,"Sedikit rangkuman apa yg dibahas pada video ini dibantu AI:

Klarifikasi Hubungan Kerja
- Ferry Irwandi menjelaskan hubungan kerjanya dengan Deddy Corbuzier adalah kemitraan bisnis, bukan sebagai karyawan02:46- Ferry menyatakan memiliki kebebasan membuat konten tanpa persetujuan, bahkan jika mengkritik Deddy atau investasinya03:25Kekhawatiran dan Aspirasi
- Deddy khawatir konten Ferry dapat memengaruhi kesepakatan dengan merek (brand deals)05:12- Deddy menyebutkan bahwa ada kekhawatiran podcast kehilangan netralitasnya mengingat posisi Deddy saat ini06:08Diskusi Konten Gibran
- Ferry dan Deddy membahas video yang dibuat oleh Gibran Rakabuming Raka06:46- Ferry mengakui usaha Gibran dalam membuat konten tetapi mengkritik eksekusinya dan menyarankan perbaikan09:11- Ferry menyarankan konten Gibran seharusnya lebih fokus pada apa yang dilakukan pemerintah untuk mengatasi isu bonus demografi10:05Diskusi Ekonomi
- Ferry menjelaskan bagaimana pertumbuhan ekonomi dipengaruhi oleh PDB, yang dipengaruhi oleh konsumsi domestik, investasi, dan produktivitas11:54- Ferry berpendapat Indonesia harus fokus meningkatkan produktivitas melalui riset dan inovasi, bukan hanya bergantung pada investasi13:23- Ferry dan Deddy membahas kompleksitas peningkatan PDB Indonesia, termasuk tingkat pendidikan dan perdagangan internasional14:04Perang Tarif
- Ferry dan Deddy membahas potensi dampak perang tarif antara Tiongkok dan AS terhadap Indonesia16:23- Ferry percaya Tiongkok akan lebih tahan menghadapi perang tarif dibandingkan AS17:22Pembangunan Tiongkok
- Ferry mengaitkan perkembangan pesat Tiongkok dengan kontrolnya atas media sosial dan informasi, yang memungkinkan pemerintah menjaga stabilitas dan fokus pada pertumbuhan ekonomi17:57- Deddy mempertanyakan apakah sistem seperti itu, yang memprioritaskan stabilitas di atas kebebasan berbicara, diinginkan19:15Diskusi Twitter
- Deddy bertanya mengapa Ferry meninggalkan Twitter21:12- Ferry menjelaskan bahwa Twitter tidak mematuhi peraturan yang sama seperti platform media sosial lainnya, membuat data pengguna kurang aman23:34- Ferry mengklaim Twitter menyetujui permintaan pemerintah untuk data pengguna dan alamat IP dengan tingkat persetujuan yang tinggi25:32- Ferry berbagi pengalaman pribadi tentang doxing dan penguntitan setelah menggunakan Twitter, yang membuatnya meninggalkan platform tersebut30:10- Ferry berpendapat bahwa algoritma Twitter mempromosikan konflik dan memudahkan identifikasi pengguna anonim53:30Rencana Masa Depan
- Ferry menegaskan kembali bahwa ia tidak tertarik memegang jabatan publik dalam lima tahun ke depan56:19- Ferry berbagi visinya untuk menciptakan universitas yang terjangkau guna menyediakan pendidikan berkualitas dan memberdayakan generasi muda59:17- Ferry bertujuan untuk mendisrupsi sistem pendidikan saat ini dengan membuat pendidikan tinggi lebih mudah diakses01:00:23- Ferry membahas tantangan mendirikan universitas di Indonesia, termasuk regulasi dan pendanaan01:02:19",5 months ago,1.8K
@alirosheno9473,"Orang Indo paling suka drama apalagi banyak yg banding2in Bang Ferry dengan Om Deddy karena mereka ""dianggap"" berseberangan padahal mereka di kehidupan nyatanya tetap bersahabat bahkan bisnis pun tetap terjalin",5 months ago,173
@Adrisyahrizal,"nah ini kereeen.....yang keren dari fery adalah benar2 kritik, bukan merendahkan orang bahkan mencaci maki, jadi snagat bisa di terima...harus banyak yang kek gini, kalau kek densu, alifurrahman dan kawan2nya receh banget",5 months ago,2
@96dhika,"14:51menurut sudut pandangku adalah, kecepatan dan kemudahan (dgn beneran 1 pintu) utk membantu pengusaha maupun calon pengusaha yang mau memulai bisnis tanpa rumit dalam proses perizinan2 yg dmn menghabiskan waktu dan uang ga jelas dan akhirnya memutuskan orang utk cabut tdk jadi membuat industri. Padahal point utamanya sudah jelas outputnya apa, tp terkadang pengusaha terkendala dlm pengurusan2 yg diputar2 di beberapa daerah tertentu diluar jawa. lihat peluang gila sumatera dan kalimantan. yg ada di dalamnya yg berkuasa pengusaha mafia dan oknum2 sejenis",5 months ago,18
@syahrulsyah6249,OM TOLONG BAHAS ORMAS DONG!!! KACAU BANYAK INVESTOR PADA KABUR KE VIETNAM GARA GARA ORMAS!! ALIAS (ORANG-MALAS)...,5 months ago,133
@SintaNays6430,"Serius ini paling ditunggu, pemerintah jangan selalu yang berbeda itu musuh apalagi para buzzer.....",5 months ago,83
@pangalengan1,"Dah lama ga pernah nonton kanal ini, kesini karena narsum nya OK dan mencerdaskan",5 months ago,43
@yusg23,"Bonus demografi kita tuh dimanfaatin Jepang. Anak muda di tempat gue lulus SMP, SMA, Kuliah, langsung pada ambil kursus dan terbang ke Jepang. Soalnya di sini sulit buat diharapkan",5 months ago,103
@syamsularif4870,Kelemahan mas wapres bukan sekedar komunikasi dan leadership tp juga pengetahuan,5 months ago,106
@AntonSugianto-u6b,"Fery ini seperti ulama.
Ulama itu DNA/sifat nya
1- bicara keadilan
2-berani menentang yg menciptakan ke tidak adilan",1 month ago,2
@arwisyah,"59:00CMIIW, ""beririsan"" justru lebih masuk pemaknaannya ke yang om ded bilang, konotasinya dalam konteks beropini lebih positif. bukan punya arti yang ""sepenuhnya bertolak belakang"" tapi lebih nunjukin kalo ""ada bedanya, tapi sama dalam hal tertentu"". kata ini juga dipakai di matematika himpunan. misal, bidang ilmu A dan B memiliki konsep yang saling beririsan. artinya kedua bidang ilmu yang berbeda itu punya beberapa bahasan2 yang sama. jadi malah agak aneh kalo dalam beropini malah merasa terpaksa beririsan.",5 months ago,16
@lismisulismi5459,"Saya ibu rumah tangga usia 65 th,selalu tertarik dg ini anak muda jebolan STAN yg encer otaknya.Parah.....besar sekali nyalinya dan katanya ga takut dipenjara,karena dia dan keluarganya sudah selesai dalam hidupnya.Semoga membawa perubahan di elit,eksekutif,dan parlemen yg udah ga ketulungan parahnya",1 month ago,10
@youngcellular2884,"Bg ferry
Sebenar nya, om ded itu menangkap dan paham apa yg anda sampai kan
Hanya saja beliau sdg berada di posisi yg tak memungkinkan utk melanjutkan pemahaman anda itu",5 months ago,34
@MegaShelay,Ferry terbaek dah..tetap berjuang mencerdaskan kehidupan anak bangsa bang fer... insyaAllah men jadi amal jariyah...salam dari bogor..,5 months ago,19
@n.aliffudnnn10-h4z,"mungkin kalau bang Ferry kerja sama dengan Timothy akan lebih cepat terealisasikan, mereka berdua kan sama² ingin membuat sekolah, yaa tapi mungkin visi dan misi mereka untuk membuat sekolah berbeda",5 months ago,8
@Farmuhan,Ferry Irwandi akhirnya memasak,5 months ago,251
@FredyAudioPemalang,Harusnya TRENDING sih ini,5 months ago,72
@yuyunnina3451,Ayo pak Gibran bantu rakyat Papua Selatan yang masih belum merdeka semoga dapat terlaksana pembangunan di Papua seperti sekolah dan rumah sakit miris lihat konten Bang Bobon yang jauh dari sejahtera,5 months ago,34
@Bolangcahsragentina,"ferry irwandi ini sbnr nya lbh layak jd pempimpin di negeri ini,bisa kepala daerah,di kementrian,atau wapres..",4 weeks ago,1
@boby.setiawan,"Kalau isu pemerintahannya berhubungan dengan Gibran, Jokowi, atau politisi didekat mereka Om Deddy berani angkat. Tapi kalau udah berhubungan dengan isu politik Prabowo, TNI dan simpatisan om Deddy gak berani.",5 months ago,97
@musthofamusthofa2653,"sedikit koment buat Omm2 podcast, beririsan itu kalo secara matematic lebih ke berteman bukan bentrok. karena beririsan itu berarti ada beberapa hal yang sama nilai dan tujuannya sehingga masuk dalam satu ruang lingkup, kalo bergesekan itu murni bertolak belakang sehingga tidak ada kesamaan dari keduanya sehingga tidak bisa bersatu dalam satu ruang lingkup. jadi beririsan lebih ke berteman, kalo bergesekan itu lebih ke bersinggungan atau saling bertolak belakang.",5 months ago,67
@Sky-k2x9w,"Tapi mmg tdk di pungkiri contohnya Sy gk segercep dlu klo ada notif dri close the door ,
Orang waras Dan berakal ini mmg harus di sebar luaskan
Semangat Ferry Irwandi",5 months ago (edited),95
@shankaryaadav3750,Dengerin podcast dan main PawPaw4D adalah definisi “me time” terbaik.,5 months ago,1.6K
@hacihaciku_17,Saya rasa ferry irwandi bukan musuh pemerintahan yaa ...justru pemerintahan welcome saja sama kritik dan saran dari ferry ... orang2 yg duduk dipemerintahan aslinya welcome untuk semua ..tp militan nya yg kadang salah paham dg kritikan tsb ...presiden sekalipun harus mau belajar dan mendengarkan semuanya,5 months ago,45
@sendalmasjid1329,Kalau anak mudanya seperti tan malaka sangat pantas jadi wapres,5 months ago,49
@darkdahlia7069,"33:18pointnya kan kalo disamperin secara langsung dan tiba tiba bang ferry ngilang bisa jadi pertanyaan publik dan malah bikin chaos, dan anggepan kalo pemerintah itu ""ngebungkam"" rakyatnya jadi ter approve",5 months ago,18
@rfq95,Warga sipil hadir.,5 months ago,49
@tuatmotuar,"Ini baru namanya orang ngomong apa yang dia pahami betul, artinya dia niatnya baik untuk buat kritik, apa fungsinya pemerintah kalau hanya omon-omon",5 months ago,70
@wolfshield2499,"'Banyak orang pintar secara kognitif tapi tidak terdidik, tapi ada juga yg terdidik tapi kognitif nya bermasalah'Ferry Irwandi",5 months ago (edited),89
@gendysday,"Maaf sebelumnya. dibanding podcast mba abigail, gua lebih suka dengerin podcast sama bang Ferry ini. Dia mengedepankan dasar ilmu untuk mengkritisi, bukan sekedar emosi atau kemarahan",1 month ago,3
@SariAnggraeni-km9iu,Bikin acara dgn guru gembul Collab jadi kan om???,5 months ago,43
@huzairon6986,"Udah nonton dan subscribe dari followers ferry masih 80k-an. Pas itu bilang, kok masih segini subs nya dengan pembahasan dan video yang sebagus itu. Udh nebak, one day, he will be a big youtuber like right now",5 months ago,17
@BahayaSihhh,Pertama,5 months ago,22
@zamardhana,"lumayan denger podcast dapet inspirasi buat lagu, makasih loh dua orang yang sangat membuka wawasan dalam bersosial media",5 months ago,
@mahasura640,Pandangan politik boleh berbeda tp tetep berteman.. itu sikap yg dewasa yg jarang di miliki masyarakat kita kebanyakan.. beda dukungan saat pelihan kepala desa saja bisa musuhan bertahun2..kadesnya udah korupsi kita masih musuhan,5 months ago,58
@meproduction9088,"01:13:13setuju sekali, dan itulah alasan pendidikan sangat penting.

Pendidikan menjadikan orang2 yg tidak mudah tersinggung, bisa menerima kritik dan bisa saling support.

Karena pendidikan yg benar, seharusnya bisa membuat manusia utk mengontrol ego, emosi dan bisa membuat org berfikir secara bijak",5 months ago,98
@proplayer8465,KELAZZZZ BANG FERYYTUNJUKKAN APA YG HARUS DITUNJUKKAN,5 months ago,30
@rahudama,"Tim dibelakang Wapres kayaknya bener2 harus belajar dr para konten kreator yang kritis dan pinter spt Ferry Irwandi. Lakukan tugas pemerintah, benahi diri sendiri dgn ilmu pengetahuan, tanmkan jiwa leadership, latih lagi kemampuan komunikasinya dan paling penting kurangi ego dan kesombongan diri karena hakikatnya kalian itu petugasnya rakyat bukan rajanya rakyat.
Bukti nyata kalau kecakapan, kemampuan seseorang dalam memimpin itu sangat penting bukan hanya bisa digapai hanya dengan modal .......
Proses yang dijalani seseorang itu penting, makanya UU tentang usia wapres itu penting krn memang pengalaman, pendidikan itu salah satu aspek sangat krusial untuk menilai kemampuan kepemimpinan seseorang.
Proses itu penting. Maka berproseslah, memantaskan diri sebelum diamanahkan suatu jabatan. kalau sudah menjabat bukan lagi belajar tapi saatnya aksi, mengabdi dan berjuang, bukan sibuk membela diri.",5 months ago (edited),1
@Muhammad_balmon,"saya org kampung yg smp aja kaga lulus,tapi liat vidionya bang ferry saya cukup paham poin"" tentang bonus demokrasi,tapi liat pak wapres malah pusing,dia bilang kuncinya ada di kita anak muda,lahhh apaan tiba"" kita jadi kunci bonus demokrafi, kita nyari krja aja susah,kita udh kesusahan bukannya dikasih solusi malah dikasih tanggung jawab jirrr",5 months ago (edited),23
@enaldn9267,Menyala teruss,5 months ago,16
@BaytrisPipo,"10:53lah sekelas presidennya aja klo ditanya masalah investor kabur cuma blg 'indonesia hebat indonesia cerah' tanpa tindakan lanjutan trus mau diharepin apa dr anak buahnya klo kualitas atasannya kyk gtu18:15cina sebesar itu krna pemerintahnya kompeten, pejabatnya nasionalis, berani hukum mati koruptor. Lah klo dsni liat aja statmentnya pejabat aja aneh aneh keliatan ga berkualitas.",5 months ago (edited),399
@marsudi2901,"Kritik yg membangun itu perlu dilakukan, sbg fungsi kontrol,agar tdk terjadi lagi spt yg dilakukan pemerintah sebelumnya.Dan lagi spy Indonesia cpt keluar dari kegelapan.Membuka lap.kerja buat generasi muda mmg sangat penting,stop akun"" produk LN yg tdk menguntungkan rakyat banyak. Skrg sektor industri banyak pabrik"" tutup dijual,krn gk mampu bersaing dg produk LN,ketatkan pengawasan export import,pengawasan kpd koruptor hrs lbh ketat.",4 weeks ago,1
@revyputra4000,"di menit06:00:00pas bang ferry ngasi tau keresahan masyarakat, om ded ngejawabnya ga tuntas dan ga ngomongin itu lbih dalem lgi, malah ganti topik.",5 months ago,30
@KUMALAANDINI,"Undangan terbuka,,, admin close the door sedang berupaya untuk menghadirkan Wapres",5 months ago,62
@yufie7,HaaaaaaahaaAkhirnya mas ferry disini,5 months ago,48
@julianam8262,"Pokoknya kl materinya tentang pak Gibran dan PK Jokowi pasti laris ramai berkah buat pengonten 
Kl sosok lain sepi",1 month ago,1
@DalilGinanjar,Undang mas gibran berani ngga om.......,5 months ago,133
@Nawaksara7307,"Oh my God om sumpah gue ngga nyangka logika lo udah setumpul itu, ""Mereka ngapain sampe nge doxing lo? Langsung aja ketemu disini atau dibawah debat bla bla bla"" serius se naif itukah? Come on om lo udah jadi bagian militer loh, lo tau dong taktik decoy, deterrence, attrition, proxy? Mereka para peneror juga ngga bodoh ferry bakal langsung diapa2in, karena kalo ferry kenapa2 besoknya bisa Indonesia spring lho beneran ini. Come on lah om you need to reconstruct your circle. Dibilang kecewa sebetulnya engga karena jujur gue udah berhenti berharap sama siapapun di negeri ini, sekalipun ama ferry, dia bukan harapan tapi dia inspirasi dan caffeine ditengah kekacauan di negeri ini. Gue lebih ke ngga nyangka aja lo udah separah itu om, dan no bukan compared to siapapun tapi bahkan lo ngga lebih baik daripada diri lo sendiri yang dulu yang kita lihat saat di interview oleh soleh solihun.",5 months ago,62
@DIARYNAURAFAMILY,Hanya karena ada Ferry aja baru buka chanel ini,5 months ago,24
@gusfialdialdi3758,"Feri. ..orang baik dari mimik bicara, kecerdasan penyampaian identifikasi masalah dan solusi penyelesaian masalah dgn kecerdasan nya ..usulan bang 
Sebaiknya  bang feri  ini di berikan atau di pakai oleh pemerintah karena kecerdasan nya lebih di atas rata rata",1 month ago,1
@Giderderrr,ABSEN DULU PENGANGGURAN SINI,5 months ago,230
@UNDRLABSS,inilah yang ku tunggu tunggu,5 months ago,8
@adealmatsier1520,Thanks!,5 months ago,15
@nolkomatujuh6935,45:11mencoba dijauhkan lagi dari persoalan pemerintah. Tapi Ferrry benar-benar paham dan terus menggiring Dedy kembali ke subtansi. Jossss,5 months ago,1
@ahmedlag4909,"10 detik pertama, nama orang itu diucapkan

seketika ngantuk saya hilang dan tertawa",5 months ago,40
@oktarisilia7053,Gua lagi nunggu Gibran di undang om ded.Mau dengar isi otak Gibran di tanya pertanyaan om ded.,1 month ago,5
@hengkysiswanto6107,"Openingnya asem banget. 
Ini adalah ferry irwandi musuh utama pemerintah.. awal2 framingnya udah gitu lohh.",5 months ago,5
@yomaree7368,Aamiiin semoga Fery bareng om Ded bikin universitas murah tp berkualitas segera terbangun terwujud,4 months ago,
@andimukramin,"Beda pendapat tapi tetap BERSAHABAT, gini kan enak",5 months ago,24
@ragilpardede4701,"Seru nih pembahasannya.
Sekali-kali bikin podcast tentang ASN (PNS dan PPPK) dong om Ded.
Apa kek yang di bahas om yang jelas tentang itu",5 months ago,3
@alzimediavideo3647,"hal yang ngga lu rasa tapi gua rasa 

seketika merinding dan berkaca-kaca 

""oh ternyata banyak juga orang-orang yang mikirin negara ini dengan tulus, tanpa pamrih. keluarin waktu materi buat bikin orang2 sadar akan masa depan bangsa.""

 kalo ini berhasil .. semua usaha orang2 seperti om ferry dll pasti ga sia-sia 
ini yg bikin gw merinding. 

bayangin aja usaha2 mereka ini yang bikin negara ini mau memperbaiki diri . sampe jadi kaya china misalnya .. 

bayangin aja",5 months ago,4
@sasikiranaalleya7542,InshaAllah dimudahkan ikhtiarnya buat Ferry.. Dirikanlah sekolah yg anti mengeluarkan ijazah tanpa berkuliah.. Krn ada bbrp univ yg bisa keluarkan dan bahkan menjual ijazah dan sedihnya udah dr jaman dlu ada.,5 months ago,
@lylysmediabelajar7387,cita-cita @ferryirwandi mendirikan sekolah sangat mulia. Aku juga dari dulu pingin bgt bangun sekolah,5 months ago,1
@Pupufafax99,Undang gibran biar kelihatan cerdasnya wapres,5 months ago,92
@cemippchanel,"Setuju kah
Format seperti ini adalah
Debat sehat dan baik
Silahkan like",5 months ago,21
@kenny6323,Aku berharap bang fery buka kampus kayak universitas terbuka yang sama terjangkaunya. Di jogja sendiri banyak temen-temen yang kuliah di UT untuk memenuhi standar berijasah di lowongan pekerjaan,5 months ago,9
@Hi-Bre123,"Yg gw suka dari konten om Deddy adalah bisa diminimize, yg lain jarang yg bisa diminimize videonya, ditekan home malah ketutup youtube nya,, hehe",5 months ago,1
@Jiemenjie,Jadi menurut gua manusia adalah budak dari hal apapun yang di cintainya ~,5 months ago,10
@ikhsanashari1634,Abis Ferry nyinggung aparat Dedi langsung pindah topik ke Cina Amerika. Takut diomelin bos Ded?,5 months ago,7
@indratisusilaningsih9238,"Kok Gibran utk  ngomong masih belajar?, jabatannya wapres lho, utk ngomong aja masih belajar gimana terhadap tanggung jawabnya sebagai wapres masih belajar juga?, Jadi ke siapannya sebagai wapres di bidang apa?",5 months ago,117
@RuangSampingx,"Gw sebagai yaa bisa di bilang GEN Z Setuju sih kalo menutup semua termasuk sosial media, 5 taun aja indo pasti maju sih yakin kalo anak muda nya tau tujuan apa yang harus di kejar, and pemerintah nya harus peka apa yang kita akan kejar",5 months ago,1
@mugiwarahashirama5691,"Om Deddy ini berani asal bukan nyangkut Prabowo dan org2 nya..
Kalo nama pak Prabowo,dasco dan lain2 disebut di acara nya pasti di sensorTapi kalo Gibran,Jokowi,Megawati,puan dan lain2 meski dihina dan dilecehkan gak akan di sensorJejak digital banyak,.",5 months ago,208
@N-YOLO,"politik tu gini, gosah terlalu baper, namanya juga orang, berbeda itu gak apa apa",5 months ago,7
@capmorgain9466,"komen dulu, dripda dipenuhin judol",5 months ago,19
@marsudi2901,"Lanjutkan berjuang lewat podcas bang, agar bangsa kita cepat sadar dan keluar dari pengaruh "" TERMUL""
Agar Indonesia cepat berjaya kembali ,keluar dari pengaruh Jkw",3 weeks ago,
@RobiPranata-ej4bw,Yg dari jambi kumpul,5 months ago,6
@alirosheno9473,"Orang Indo paling suka drama apalagi banyak yg banding2in Bang Ferry dengan Om Deddy karena mereka ""dianggap"" berseberangan pdahal mereka di kehidupan nyatanya tetap bersahaabt bahkan bisnis pun tetap terjalin",5 months ago,16
@ipnu2546,"14:12tak kira om tuh udah paham lo, tentang pertumbuhan industri ekonomi tuh sekarang lebih urgent dari pada beli alutsista. Jadi kesel malahan.",5 months ago,4
@sentanussen5737,"inilah contoh manusia2 dewasa... meskipun ada beda pendapat, beroposisi di politik, tapi mereka tau kapan harus jadi lawan dan kapan harus jadi kawan. dalam politik mungkin mereka berlawanan, tapi secara manusia mereka kawan... mantaabbb",3 weeks ago,
@saifulapung3152,makasi bang ferry udah ngawal negara ini,5 months ago,48
@New_vloger312,𝐆𝐀𝐑𝐔𝐃𝐀𝐇𝐎𝐊𝐥lisensi web terbaik,5 months ago,124
@alvagadgets3038,"Kalau semua lini pemerintahan kompeten dan jujur, masyarakat pun akan ""bungkam"" dengan sendirinya",5 months ago,4
@junharSmil,melalui komentar ini saya mau cerita tentang seorang petualang dari negeri jauh bernama edix dia adalah orang yang sangat menjunjung tinggi perbedaan dan patuh pada aturan terkadang dia juga mengkritik cara pemerintah untuk melakukan kewajiban nya yang salah tapi pada suatu saat dia di iming-iming sebuah jabatan dan masuk dalam lingkaran tersebut dan dia pun berubah jadi tikus yang dari awalnya adalah Harimau dia pun mengatakan dia menjadi tikus tidak akan merusak padi di daerah sawah tapi dia sedang membuat lubang untuk menimbun padi yang lebih banyak jadi dia berlaga seekor merpati bersayap putih tapi berhati siluman dan licik,5 months ago,2
@notme6511,Dari setiap podcast om Ded ada 1 yg bisa saya pelajari.. Beliau bisa mempengaruhi emosi seseorang.. Ilmu yg mahal dan bisa digunakan utk semua bidang..,5 months ago,4
@dwiwariyaniwee,18:43China tuhh sebelum ngblokir suatu aplikasi dia dah nyiapin aplikasinya sendiri yg lebih bagus jga. Dan lagi meskipun mereka gak bebas berbicara terhadap pemerintah. Tapi Pemerintah memihak kerakyat. Pembangunan menyeluruh gak cuma di Beijing,5 months ago,18
@chuuninoob5366,"Gibran bikin video dihujat itu bukan karena videonya gak menarik, tapi kontennya gak ngotak wara wiri sana sini topiknya. Iya kalo isi kontennya berupa opini mmg pure opini dia, lah masih minta AI bikin teks tentang bonus demografi Indonesia, yg mana itu sangat general dan melebar, dia kopi tuh itu perbaikin dikit biar keliatan punya dia. Yang makin konyol itu dia yang bicara tapi keliatan gak paham yg dia omong sendiri itu tentang apa! Orang yg paham dan mengerti topik tertentu itu gesture dan mimik wajahnya gak gitu kalo bicara, klo ada yg bilang ""lah memang dia sifat dan mukanya mmg begitu dari sananya..."" ya justru itu poinnya. Kalo tampangnya begitu mulu, ya wajar orang kaya saya nganggep dia gak paham. Bukan soal harus lebay atau overacting, tapi minimal keliatan lah antusias atau nyambung sama yang diomongin. Apalagi topik kayak bonus demografi itu berat, gak bisa cuma dibacain kayak teks narasi. Gimana orang mau percaya atau tertarik, kalo yang nyampein aja keliatan kayak lagi baca sambil mikir 'ini apaan sih?' ya saya hujat lah",5 months ago,2
@torayantondoku3662,keamanan data pribadi menjadi alert yang harus disadari semua pengguna medsos bukan hanya di twiter atau tiktok dst. Pengguna medsos perlu menguasai skill pengamanan data pribadi dan selalu cermat dalam menggunakan medsos.,1 month ago,1
@muhamaddefi196,"Next undang KDM om,kan masih satu kubu,
Bisa kaliii.....",5 months ago,7
@syrxd8060,Sheshh,5 months ago,8
@jevaalexiana,Gibran terpaksa turun ngekonten karna emang gak bisa kerja,5 months ago,134
@tamexien666,"Coba di ingat zaman internet dan sosmed belum masuk ke indonesia dan belum semassive ini, betapa indahnya masih indonesia.",5 months ago (edited),
@SanSan071,sejak 1999 sampai sekarang opini saya tentang Indonesia adalah negeri antah berantah yang ada bukan tokoh masyarakat tetapi tokoh pewayangan,5 months ago,95
@mattondabeat,uwauww!!,5 months ago,8
@FebriHariyanti-s1f,"Waktu tahun 2021 , gw kena doxing di tweet ditambah lagi dia bisa masuk ke galeri gw yg foto anak dan suami bisa dia dapatkan pdhl foto tsb gk pernah gw upload di IG , FB and X . Sampai sekarang gw stop main sosmed kecuali FB and YT doang , sedikit bikin trauma sih yg dimana gw mati""an buat privat muka keluarga apalagi anak dan seenak jidat dia bisa doxing gw ampe seakar"" y",5 months ago,11
@azacrome,"Tolong Untuk tim kreatif ataupun bang dedy apabila melihat komentar ini :
Mohon Untuk semua bintang tamu dan termasuk juga untuk bang dedy sendiri Jangan Pernah Merokok saat Podcast Terapkan Larangan Mutlak Untuk Merokok saat Podcast berlangsung.
itu Hal yang Buruk.
Jangan Menolak Nasihat Kebaikan dan Kebenaran.
Silakan Terapkan Peringatan dari Azacrome ini.",5 months ago,17
@indragustiawan1444,"Rakyat Indonesia memang dibuat miskin agar mudah diiming-imingi dengan hal receh. Bahkan pemerintah yg sekarang bukan lagi menargetkan orang dewasa untuk punya mental miskin, tp anak-anak yg bakal jadi generasi penerus sudah dibiasakan bergantung dengan hal receh, yaitu program MBG. Anak-anak dibiasakan untuk bermental miskin, dengan bergantung sama makan gratis yg itu termasuk hal remeh, dan makan gratis juga ga bergizi-gizi banget yg dikasih pemerintah. Karena ada contoh pembanding yg dilakukan KDM yaitu ngasih uangnya ke orang tua anak, dan anak bekel makan dari rumah yg jauh lebih bergizi. Tp pemerintah gamau meningkatkan perekonomian orang tuanya, mereka tetep milih ngasih makanannya. Karena tujuannya bukan ngasih makanan bergizi tp menciptakan mental miskin pada generasi muda, membuat generasi selanjutnya bisa diiming-imingi hal receh agar bisa milih lagi dia di periode2 selanjutnya. Ngeri kan programnya, tolong lah cerdas dikit menanggapi setiap kebijakan, jangan cuma iya2 aja, hooh2 aja sambil planga plongo.",5 months ago,2
